6. Do you use social media?,"12. On a scale of 1 to 5, how easily distracted are you?",14. Do you find it difficult to concentrate on things?,"20. On a scale of 1 to 5, how often do you face issues regarding sleep?"
Yes,5,5,5
Yes,4,4,5
Yes,2,4,5
Yes,3,3,2
Yes,4,5,1
Yes,3,3,4
Yes,2,3,3
Yes,3,1,1
Yes,3,1,1
No,1,1,1
Yes,4,5,5
Yes,5,4,2
Yes,4,2,5
Yes,1,4,3
Yes,5,5,5
Yes,3,4,2
Yes,2,2,3
Yes,4,5,1
Yes,3,1,2
Yes,3,2,2
Yes,2,2,1
Yes,3,4,4
Yes,4,3,1
Yes,3,3,2
Yes,3,4,4
Yes,4,4,5
Yes,4,4,1
Yes,5,4,1
Yes,3,4,3
Yes,3,2,2
Yes,3,4,3
Yes,3,3,2
Yes,5,5,4
Yes,4,5,1
Yes,3,3,1
Yes,1,3,5
Yes,4,4,5
Yes,4,5,4
Yes,1,1,1
Yes,3,3,2
Yes,4,4,2
Yes,3,3,3
Yes,4,2,3
Yes,2,1,2
Yes,3,3,1
Yes,3,1,1
Yes,4,2,4
Yes,5,5,1
Yes,5,5,5
Yes,3,1,1
No,2,1,2
Yes,4,5,3
Yes,2,2,2
Yes,2,3,5
Yes,4,4,2
Yes,2,2,5
Yes,4,4,4
Yes,3,4,4
Yes,5,3,5
Yes,3,2,4
Yes,5,5,1
Yes,3,3,4
Yes,3,3,4
Yes,3,2,4
Yes,2,2,2
Yes,5,5,5
Yes,2,2,5
Yes,3,1,2
Yes,3,1,4
Yes,4,2,2
Yes,4,4,2
Yes,3,5,5
Yes,3,5,5
Yes,5,4,4
Yes,5,5,2
Yes,5,5,5
Yes,4,4,2
Yes,4,3,4
Yes,5,5,1
Yes,2,3,2
Yes,5,5,4
Yes,4,4,3
Yes,5,5,2
Yes,4,4,1
Yes,4,4,5
Yes,2,4,4
Yes,3,5,5
Yes,4,3,5
Yes,4,5,3
Yes,5,4,3
Yes,4,3,3
Yes,4,2,5
Yes,3,3,3
Yes,3,5,5
Yes,3,3,3
Yes,3,3,5
Yes,4,2,5
Yes,1,2,1
Yes,3,2,3
Yes,4,4,3
Yes,4,3,3
Yes,4,3,4
Yes,3,3,4
Yes,4,2,1
Yes,5,1,4
Yes,5,5,5
Yes,4,4,4
Yes,5,4,5
Yes,4,5,5
Yes,3,1,1
Yes,2,2,3
Yes,5,5,3
Yes,5,5,2
Yes,3,3,1
Yes,5,3,3
Yes,3,4,4
Yes,3,3,5
Yes,3,2,2
Yes,3,2,4
Yes,3,1,2
Yes,3,3,4
Yes,2,1,1
No,2,2,1
Yes,3,3,5
Yes,3,2,4
Yes,3,1,1
Yes,3,4,3
Yes,5,4,2
Yes,2,2,1
Yes,5,5,4
Yes,2,3,1
Yes,1,1,2
Yes,3,2,5
Yes,3,2,3
Yes,4,4,4
Yes,4,4,2
Yes,3,2,2
Yes,2,2,4
Yes,1,2,2
Yes,3,1,5
Yes,3,2,3
Yes,3,2,2
Yes,2,2,5
Yes,5,5,4
Yes,5,4,4
Yes,2,4,4
Yes,2,3,4
Yes,3,4,5
Yes,2,1,5
Yes,1,1,2
Yes,3,3,4
Yes,5,5,4
Yes,3,2,2
Yes,3,1,4
Yes,2,1,2
Yes,4,3,1
Yes,4,4,4
Yes,4,5,4
Yes,3,5,5
Yes,5,4,5
Yes,2,3,1
Yes,1,1,1
Yes,4,5,5
Yes,5,4,5
Yes,2,1,1
Yes,3,2,5
Yes,3,2,4
Yes,2,2,3
Yes,4,4,2
Yes,5,3,4
Yes,3,3,2
Yes,4,2,1
Yes,3,1,1
Yes,3,5,4
Yes,5,5,5
Yes,2,2,1
Yes,3,3,1
Yes,4,4,4
Yes,3,3,4
Yes,1,1,1
Yes,2,3,2
Yes,2,2,2
Yes,2,1,2
Yes,2,1,1
Yes,5,5,2
Yes,2,3,5
Yes,3,3,4
Yes,5,5,3
Yes,5,5,5
Yes,2,2,4
Yes,5,3,2
Yes,5,5,4
Yes,1,1,1
Yes,2,3,4
Yes,3,3,2
Yes,1,1,1
Yes,3,4,5
Yes,1,1,1
Yes,1,1,1
Yes,1,1,1
Yes,3,4,2
Yes,3,4,4
Yes,5,5,4
Yes,3,2,1
Yes,3,3,3
Yes,3,2,3
Yes,4,4,3
Yes,3,4,3
Yes,3,4,3
Yes,5,5,5
Yes,1,1,4
Yes,4,4,5
Yes,2,3,1
Yes,1,2,1
Yes,1,3,5
Yes,2,1,1
Yes,5,4,3
Yes,4,3,1
Yes,2,1,1
Yes,5,2,5
Yes,5,1,5
Yes,5,3,2
Yes,5,5,4
Yes,3,3,5
Yes,3,5,5
Yes,4,2,3
Yes,4,4,2
Yes,2,3,1
Yes,3,1,3
Yes,1,5,1
Yes,3,3,4
Yes,1,1,1
Yes,5,5,5
Yes,3,2,3
Yes,3,2,2
Yes,4,5,5
Yes,4,5,5
Yes,1,1,3
Yes,3,4,2
Yes,2,4,4
Yes,3,4,4
Yes,2,3,2
Yes,4,4,3
Yes,4,4,2
Yes,3,3,2
Yes,3,2,4
Yes,5,4,4
Yes,5,5,5
Yes,2,1,2
Yes,5,3,5
Yes,5,5,5
Yes,4,3,4
Yes,5,5,5
Yes,5,4,3
Yes,5,4,5
Yes,5,5,5
Yes,5,5,5
Yes,3,3,2
Yes,3,3,4
Yes,4,4,5
Yes,4,4,3
Yes,1,1,2
Yes,2,3,5
Yes,4,4,4
Yes,5,5,4
Yes,3,3,2
Yes,5,4,4
Yes,2,2,2
Yes,2,2,4
Yes,2,3,4
Yes,2,3,3
Yes,4,5,4
Yes,4,4,5
Yes,3,1,1
Yes,2,4,1
Yes,2,2,2
Yes,3,4,5
Yes,4,4,2
Yes,3,3,3
Yes,3,3,4
Yes,3,4,5
Yes,5,5,2
Yes,3,5,5
Yes,3,3,2
Yes,5,4,2
Yes,4,3,3
Yes,4,2,1
Yes,2,2,4
Yes,2,2,1
Yes,3,3,5
Yes,3,5,5
Yes,5,5,2
Yes,4,4,5
Yes,4,5,4
Yes,1,1,3
Yes,1,4,4
Yes,5,5,4
Yes,5,5,5
Yes,5,5,5
Yes,4,4,5
Yes,2,4,4
Yes,2,2,5
Yes,4,5,5
Yes,5,4,1
Yes,4,5,4
Yes,3,2,2
Yes,5,5,4
Yes,2,1,4
Yes,4,3,2
Yes,2,1,3
Yes,4,1,4
Yes,3,3,3
Yes,3,4,2
Yes,3,1,2
Yes,5,5,5
Yes,3,3,3
Yes,3,3,2
Yes,5,5,1
Yes,3,5,3
Yes,3,3,5
Yes,3,2,5
Yes,3,4,5
Yes,4,4,2
Yes,1,1,1
Yes,4,4,1
Yes,5,5,1
Yes,3,4,4
Yes,3,4,5
Yes,3,2,4
Yes,4,5,5
Yes,4,4,4
Yes,2,2,2
Yes,2,4,5
Yes,5,4,2
Yes,3,2,3
Yes,4,4,1
Yes,5,3,5
Yes,3,3,2
Yes,3,3,4
Yes,3,3,5
Yes,2,1,2
Yes,4,5,5
Yes,5,5,4
Yes,5,5,5
Yes,5,3,1
Yes,3,4,4
Yes,2,2,5
Yes,4,5,5
Yes,1,1,3
Yes,5,4,5
Yes,3,2,1
Yes,3,3,4
Yes,3,3,4
Yes,2,4,2
Yes,3,2,2
Yes,5,5,5
Yes,3,5,1
Yes,3,3,5
Yes,3,2,3
Yes,4,4,3
Yes,3,4,4
Yes,4,3,4
Yes,4,4,4
Yes,4,4,2
Yes,5,5,5
Yes,4,3,4
Yes,4,5,3
Yes,5,5,5
Yes,5,5,1
Yes,3,2,2
Yes,2,1,1
Yes,4,4,3
Yes,5,5,5
Yes,2,2,4
Yes,3,3,3
Yes,3,2,4
Yes,4,4,5
Yes,2,1,1
Yes,1,1,1
Yes,4,3,5
Yes,5,5,5
Yes,5,5,3
Yes,5,5,1
Yes,2,1,5
Yes,5,5,1
Yes,4,3,3
Yes,5,5,5
Yes,5,5,5
Yes,4,4,4
Yes,5,4,5
Yes,3,2,2
Yes,3,4,5
Yes,4,4,3
Yes,5,5,1
Yes,4,4,5
Yes,2,3,4
Yes,3,4,4
Yes,4,4,5
Yes,3,2,3
Yes,3,5,3
Yes,4,4,3
Yes,4,5,4
Yes,4,4,5
Yes,3,3,5
Yes,5,5,5
Yes,5,4,5
Yes,3,2,5
Yes,2,3,5
Yes,3,2,4
Yes,4,3,2
Yes,2,3,5
Yes,4,3,4
Yes,4,4,4
Yes,3,3,2
Yes,2,2,2
Yes,4,4,3
Yes,3,2,3
Yes,2,3,4
Yes,5,5,5
Yes,3,5,3
Yes,4,5,5
Yes,2,3,5
Yes,4,4,2
Yes,4,4,5
Yes,5,5,3
Yes,3,3,2
Yes,1,1,1
Yes,1,1,2
Yes,4,3,4
Yes,3,2,2
Yes,3,2,3
Yes,1,1,1
Yes,4,5,2
Yes,5,5,2
Yes,3,1,4
Yes,4,2,1
Yes,4,4,2
Yes,3,4,3
Yes,3,1,4
Yes,3,3,1
Yes,3,3,1
Yes,3,3,5
Yes,4,3,4
Yes,3,2,4
